                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    140,                 1.0478,                0.90688,                  1.488,                0.56796,                0.56746,                0.60845,                0.38096,                 1.3653,                 1.4095,                 1.7615,              0.0031195,              0.0031195,              0.0031195
                    141,                 1.0445,                0.87267,                 1.4785,                0.60587,                0.51923,                0.60544,                0.37949,                 1.3694,                 1.4018,                 1.7617,                0.00307,                0.00307,                0.00307
                    142,                 1.0548,                0.87407,                 1.4832,                0.47424,                0.57364,                0.55315,                0.35077,                  1.438,                 1.5851,                 1.7801,              0.0030205,              0.0030205,              0.0030205
                    143,                 1.0666,                 0.8861,                 1.4904,                0.43678,                0.59806,                0.57379,                0.37106,                 1.4017,                 1.7813,                 1.7534,               0.002971,               0.002971,               0.002971
                    144,                 1.0514,                0.86053,                 1.4888,                0.56023,                0.50465,                0.58225,                0.36051,                 1.4121,                 1.6068,                 1.7667,              0.0029215,              0.0029215,              0.0029215
                    145,                 1.0544,                0.88584,                  1.509,                0.61274,                0.46772,                0.57394,                0.38398,                 1.3329,                 1.4804,                 1.7083,               0.002872,               0.002872,               0.002872
                    146,                 1.0459,                0.86524,                 1.4769,                 0.6011,                0.60405,                0.64203,                0.42264,                 1.3436,                 1.3207,                 1.7414,              0.0028225,              0.0028225,              0.0028225
                    147,                 1.0396,                0.85285,                 1.4776,                0.73364,                0.51164,                 0.6608,                0.43172,                 1.3304,                 1.3573,                 1.7277,               0.002773,               0.002773,               0.002773
                    148,                 1.0445,                0.85687,                 1.4768,                0.60381,                 0.5368,                0.62767,                0.39602,                 1.3906,                 1.5224,                 1.8001,              0.0027235,              0.0027235,              0.0027235
                    149,                 1.0382,                0.86714,                 1.4776,                 0.5649,                0.61604,                0.64075,                0.41469,                 1.3611,                 1.5069,                 1.7603,               0.002674,               0.002674,               0.002674
                    150,                 1.0393,                 0.8542,                 1.4853,                0.66063,                0.57566,                0.62137,                0.40657,                 1.3648,                 1.3773,                  1.745,              0.0026245,              0.0026245,              0.0026245
                    151,                 1.0421,                0.87273,                 1.4693,                0.66378,                0.54194,                0.60282,                0.39402,                 1.3573,                 1.4218,                 1.7424,               0.002575,               0.002575,               0.002575
